
0.583613 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.591947 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.600281 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.608615 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.616948 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.625282 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.633615 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.643396 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.65173 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.660064 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.668397 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.676731 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.685064 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.693573 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.701906 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.71024 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.718574 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.726908 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.735241 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.743575 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.751908 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

