0.635267 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.658939 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.667273 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.675606 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.68394 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.692274 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.700607 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.71022 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.718554 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.726887 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.735221 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.743555 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.751888 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.760222 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.768556 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.778351 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.786685 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.795018 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.803352 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.811685 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.820019 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.828353 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.836686 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.84502 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.853353 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.861687 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.870021 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.878354 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.886688 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.895022 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.903357 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.911702 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.920035 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.928369 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.936703 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.945037 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.953371 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.961704 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.970039 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.978373 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.986706 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

0.995039 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.003373 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.011707 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.02004 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.028374 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.036708 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.045042 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.053376 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.061709 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.070043 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.078376 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.087148 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.095482 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.103815 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.112149 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.120482 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.128816 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.13715 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.145484 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.153817 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.162151 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.170485 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.178818 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.187151 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.195485 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.203819 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.212152 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.220485 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.228819 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.237153 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.245487 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.25382 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.262154 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.270487 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.278821 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.287154 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.295488 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.303866 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.312199 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

